Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,GP,Track Length,Mean Speed
0 days 01:11:20.403000,VER,1,0 days 00:01:27.472000,14,5,,,0 days 00:00:31.763000,0 days 00:00:27.800000,0 days 00:00:27.909000,0 days 01:10:24.694000,0 days 01:10:52.494000,0 days 01:11:20.403000,294,326,306,330,TRUE,SOFT,2,TRUE,Red Bull Racing,0 days 01:09:52.931000,55:57.7,1,Saudi Arabia,6.175,254.1384672
0 days 00:52:15.638000,MAG,20,0 days 00:01:29.020000,13,4,,,0 days 00:00:32.514000,0 days 00:00:28.161000,0 days 00:00:28.345000,0 days 00:51:19.132000,0 days 00:51:47.293000,0 days 00:52:15.638000,291,329,306,332,TRUE,SOFT,5,FALSE,Haas F1 Team,0 days 00:50:46.618000,36:51.4,1,Saudi Arabia,6.175,249.7191642
0 days 01:10:23.633000,RUS,63,0 days 00:01:28.316000,19,6,,,0 days 00:00:32.293000,0 days 00:00:27.884000,0 days 00:00:28.139000,0 days 01:09:27.610000,0 days 01:09:55.494000,0 days 01:10:23.633000,295,327,307,331,TRUE,SOFT,5,FALSE,Mercedes,0 days 01:08:55.317000,55:00.1,1,Saudi Arabia,6.175,251.7097695
0 days 01:18:19.782000,NOR,4,0 days 00:01:28.132000,21,6,,,0 days 00:00:31.880000,0 days 00:00:28.022000,0 days 00:00:28.230000,0 days 01:17:23.530000,0 days 01:17:51.552000,0 days 01:18:19.782000,293,322,305,325,TRUE,SOFT,2,TRUE,McLaren,0 days 01:16:51.650000,02:56.4,1,Saudi Arabia,6.175,252.2352834
0 days 01:19:17.581000,LEC,16,0 days 00:01:27.791000,22,6,,,0 days 00:00:31.933000,0 days 00:00:27.842000,0 days 00:00:28.016000,0 days 01:18:21.723000,0 days 01:18:49.565000,0 days 01:19:17.581000,291,326,302,329,TRUE,SOFT,2,TRUE,Ferrari,0 days 01:17:49.790000,03:54.6,1,Saudi Arabia,6.175,253.215022
0 days 01:19:32.844000,ALO,14,0 days 00:01:27.846000,16,5,,,0 days 00:00:31.840000,0 days 00:00:27.823000,0 days 00:00:28.183000,0 days 01:18:36.838000,0 days 01:19:04.661000,0 days 01:19:32.844000,292,325,305,329,TRUE,SOFT,2,TRUE,Aston Martin,0 days 01:18:04.998000,04:09.8,1,Saudi Arabia,6.175,253.0564852
0 days 00:32:11.059000,OCO,31,0 days 00:01:29.475000,9,2,,,0 days 00:00:32.655000,0 days 00:00:28.250000,0 days 00:00:28.570000,0 days 00:31:14.239000,0 days 00:31:42.489000,0 days 00:32:11.059000,292,322,306,330,TRUE,SOFT,3,TRUE,Alpine,0 days 00:30:41.584000,16:46.3,1,Saudi Arabia,6.175,248.4492875
0 days 00:58:06.344000,ALB,23,0 days 00:01:28.980000,15,5,,,0 days 00:00:32.484000,0 days 00:00:28.125000,0 days 00:00:28.371000,0 days 00:57:09.848000,0 days 00:57:37.973000,0 days 00:58:06.344000,290,328,306,330,TRUE,SOFT,10,FALSE,Williams,0 days 00:56:37.364000,42:42.1,1,Saudi Arabia,6.175,249.8314228
0 days 01:18:55.306000,TSU,22,0 days 00:01:28.547000,17,6,,,0 days 00:00:32.180000,0 days 00:00:28.110000,0 days 00:00:28.257000,0 days 01:17:58.939000,0 days 01:18:27.049000,0 days 01:18:55.306000,293,325,306,330,TRUE,SOFT,2,TRUE,RB,0 days 01:17:26.759000,03:31.5,1,Saudi Arabia,6.175,251.053113
0 days 00:29:07.181000,BOT,77,0 days 00:01:29.179000,7,2,,,0 days 00:00:32.479000,0 days 00:00:28.341000,0 days 00:00:28.359000,0 days 00:28:10.481000,0 days 00:28:38.822000,0 days 00:29:07.181000,291,326,306,328,TRUE,SOFT,2,TRUE,Kick Sauber,0 days 00:27:38.002000,13:42.8,1,Saudi Arabia,6.175,249.2739322
