Corner Number,X,Y,Number,Letter,Angle,Distance,Track
0,42.4059393,8329.202564,1,,-246.6153111,703.5354504,Bahrain
1,820.7816213,7879.043841,2,,-101.1774693,803.1151901,Bahrain
2,1912.969997,8065.442167,3,,-261.3945618,918.1821463,Bahrain
3,7487.745293,6790.710716,4,,-349.5990659,1498.52764,Bahrain
4,5820.228443,4860.740936,5,,-211.5015971,1763.418513,Bahrain
5,5180.404121,4214.598861,6,,-76.37444238,1879.014089,Bahrain
6,4276.202937,4156.240631,7,,-258.953372,1964.725514,Bahrain
7,2490.099011,2458.600397,8,,-114.6543095,2211.163474,Bahrain
8,2711.155288,5950.242339,9,,-344.9079556,2593.469175,Bahrain
9,2100.132716,6613.999851,10,,-270.0220001,2664.101908,Bahrain
10,2120.985221,-663.9950721,11,,-100.9996714,3438.143585,Bahrain
11,4981.251162,1603.747622,12,,-272.8128235,3849.535409,Bahrain
12,6665.934072,449.2756371,13,,-358.7278483,4064.903834,Bahrain
13,-145.4124578,-3472.808548,14,,-110.5215319,4863.036107,Bahrain
14,-552.8126057,-2803.666251,15,,-169.0619992,4944.872231,Bahrain
0,-2908.523056,4757.490498,1,,69.13662879,484.5908285,Saudi Arabia
1,-3463.17172,4834.55179,2,,40.8114165,539.2766378,Saudi Arabia
2,-3333.32477,6205.801601,3,,-3.557132417,675.5989298,Saudi Arabia
3,-3726.875378,9192.730297,4,,47.14885194,983.2308786,Saudi Arabia
4,-4503.338061,9863.121848,5,,22.80346717,1103.222128,Saudi Arabia
5,-4285.27717,11311.58816,6,,-17.73913507,1241.607983,Saudi Arabia
6,-4405.375789,12447.50736,7,,22.02544026,1349.559444,Saudi Arabia
7,-4926.652429,12948.26492,8,,28.39364194,1429.013919,Saudi Arabia
8,-4851.685766,14451.23928,9,,141.2465998,1575.772857,Saudi Arabia
9,-4049.885092,15075.21401,10,,-33.91941352,1697.441548,Saudi Arabia
10,-3793.615593,16049.94223,11,,-14.63405532,1801.90062,Saudi Arabia
11,-3573.734876,16904.96513,12,,-9.142795149,1889.561659,Saudi Arabia
12,-4317.586219,21791.13611,13,,102.440558,2407.908883,Saudi Arabia
13,-4128.693808,18964.56267,14,,-173.0527755,2745.139328,Saudi Arabia
14,-4524.771575,16996.49388,15,,-204.5280095,2938.684671,Saudi Arabia
15,-4900.214677,15776.13294,16,,140.9701941,3075.114636,Saudi Arabia
16,-5687.898928,15233.13205,17,,-210.2297999,3177.210059,Saudi Arabia
17,-5575.506518,13034.76813,18,,-160.3313812,3400.66991,Saudi Arabia
18,-4995.647738,11155.10296,19,,-175.7637667,3583.359444,Saudi Arabia
19,-4663.18273,9118.431623,20,,-156.8365304,3800.223967,Saudi Arabia
20,-3883.815485,7285.573384,21,,-171.2512867,4009.962236,Saudi Arabia
21,-3912.876567,4866.397795,22,,-168.8377861,4253.877264,Saudi Arabia
22,-3409.812557,4155.133315,23,,-134.0809504,4329.941485,Saudi Arabia
23,-3104.125427,2806.184304,24,,-188.7716372,4497.866087,Saudi Arabia
24,-4073.934795,93.7744736,25,,-183.3307123,4787.598767,Saudi Arabia
25,-3097.992407,-3343.27385,26,,-144.7149943,5138.008822,Saudi Arabia
26,-126.0020351,-5554.263009,27,,-50.14775596,5517.826044,Saudi Arabia
0,-3650.594482,1193.78418,1,,-176.6327302,345.4629823,Australia
1,-3555.053223,1992.750244,2,,-1.517006671,428.5463933,Australia
2,-7194.970215,7101.942383,3,,162.2583146,1073.403417,Australia
3,-5878.734375,7709.864746,4,,-23.42626294,1234.180197,Australia
4,-5870.662598,9676.805664,5,,159.2159592,1435.356601,Australia
5,-2280.641357,11861.55957,6,,96.7362663,1857.306942,Australia
6,-1296.382446,11398.00879,7,,-104.0659031,1961.178032,Australia
7,502.4125366,10576.31152,8,,39.14564173,2164.493317,Australia
8,2838.84375,798.9598389,9,,-101.1973336,3270.660516,Australia
9,3973.896484,855.0198975,10,,73.47677062,3385.826,Australia
10,7489.130859,-4851.345215,11,,-15.77963537,4088.325515,Australia
11,5020.217773,-5538.887695,12,,-106.0828951,4360.611812,Australia
12,3587.226563,-3634,13,,89.83929687,4597.505134,Australia
13,2300.28418,-4454.023438,14,,-97.40324574,4759.690844,Australia
0,5000.369793,-1839.85224,1,,13.10526775,369.1085416,Miami
1,4462.642212,-2689.758396,2,,-204.2827213,464.5276318,Miami
2,4309.500671,-3575.672952,3,,-26.05420128,568.8372747,Miami
3,-676.0693653,-2600.609126,4,,98.59121329,1127.843087,Miami
4,-1907.332696,-3176.956244,5,,-88.84133007,1261.09967,Miami
5,-3137.559391,-2430.703374,6,,76.75968911,1414.205285,Miami
6,-4269.134882,-3061.38349,7,,-206.1460284,1538.408234,Miami
7,-4102.858615,-3929.779532,8,,-103.4754773,1639.125779,Miami
8,1099.937315,-4144.409318,9,,-103.8543329,2151.866143,Miami
9,3806.3528,-4793.668301,10,,-89.35439995,2448.155145,Miami
10,9665.02111,-2550.919181,11,,-14.93577696,3073.094737,Miami
11,9121.664811,-1632.47663,12,,-190.6824721,3186.329544,Miami
12,10178.34978,-1114.286976,13,,-65.47564941,3324.644035,Miami
13,10550.67434,-506.2839967,14,,12.80443445,3396.083423,Miami
14,10423.83331,-365.1232426,15,,-150.4254969,3411.358992,Miami
15,10488.33096,520.3380239,16,,26.56444281,3507.566662,Miami
16,-2590.197439,924.36863,17,,-197.7023848,4817.927455,Miami
17,-1584.204479,167.1696043,18,,-93.53368255,4984.11878,Miami
18,428.8310006,623.5196314,19,,-94.3312815,5179.191512,Miami
0,-3102.470597,-6966.730801,1,,-68.8993899,816.3522386,Spain
1,-3874.758323,-6783.703177,2,,-280.500764,890.6750865,Spain
2,-6195.325833,-7289.139508,3,,-119.4401942,1158.513641,Spain
3,-4426.529401,-2915.928155,4,,-299.8502117,1720.362599,Spain
