Team,Sector_0,Sector_1,Sector_2,Sector_3,Sector_4,Sector_5,Sector_6,Sector_7,Sector_8,Sector_9,Sector_10,Sector_11,Sector_12,Sector_13,Sector_14,Sector_15,Sector_16,Sector_17,Sector_18,Sector_19,Sector_20,Sector_21,Sector_22,Average
Alpine,230.50291,130.63373,228.02304,181.83707,225.54318,233.0404,223.0633,176.87732,220.58344,174.39746,218.10356,171.91757,215.62369,169.43771,213.14381,220.64105,210.66394,164.47797,208.18408,108.31488,205.70421,159.51822,203.22433,195.36768
Aston Martin,230.64966,130.78046,228.16978,181.9838,225.68991,233.18715,223.21004,177.02405,220.73016,174.54419,218.2503,172.06432,215.77042,169.58444,213.29056,220.78778,210.81068,164.6247,208.33081,108.46161,205.85094,159.66496,203.37106,195.51443
Ferrari,230.79639,130.92719,228.31651,182.13052,225.83664,233.33388,223.35677,177.17079,220.87689,174.69092,218.39703,172.21104,215.91716,169.73117,213.43729,220.93452,210.95741,164.77144,208.47754,108.60835,205.99768,159.81169,203.51779,195.66115
Haas F1 Team,230.94312,131.07393,228.46324,182.27727,225.98337,233.48062,223.50351,177.31752,221.02362,174.83765,218.54376,172.35779,216.06389,169.8779,213.58401,221.08125,211.10416,164.91817,208.62427,108.75508,206.14441,159.95844,203.66454,195.8079
Kick Sauber,231.08984,131.22066,228.60999,182.424,226.13011,233.62735,223.65024,177.46425,221.17036,174.98439,218.69049,172.50452,216.21062,170.02464,213.73074,221.22798,211.25089,165.0649,208.77101,108.90181,206.29114,160.10516,203.81126,195.9546
McLaren,231.23659,131.36739,228.75671,182.57074,226.27684,233.77408,223.79697,177.611,221.3171,175.13112,218.83722,172.65125,216.35736,170.17137,213.87747,221.37473,211.39761,165.21164,208.91774,109.04855,206.43787,160.25189,203.95801,196.10136
Mercedes,231.38332,131.51413,228.90344,182.71747,226.42358,233.9208,223.9437,177.75772,221.46384,175.27786,218.98396,172.79797,216.50409,170.31812,214.02422,221.52145,211.54434,165.35837,209.06448,109.19528,206.58461,160.39862,204.10474,196.2481
RB,231.53004,131.66086,229.05017,182.8642,226.57031,234.06755,224.09044,177.90445,221.61057,175.42459,219.13069,172.94472,216.65082,170.46484,214.17094,221.66818,211.69109,165.5051,209.21121,109.34201,206.73134,160.54535,204.25146,196.39482
Red Bull Racing,231.67679,131.80759,229.19691,183.01093,226.71704,234.21428,224.23717,178.05118,221.7573,175.57132,219.27744,173.09145,216.79755,170.61157,214.31769,221.81491,211.83781,165.65182,209.35794,109.48874,206.87807,160.6921,204.3982,196.54156
Williams,231.82352,131.95432,229.34364,183.15765,226.86377,234.36101,224.3839,178.19792,221.90402,175.71805,219.42416,173.23817,216.94429,170.7583,214.46442,221.96165,211.98454,165.79857,209.50467,109.63548,207.02481,160.83882,204.54494,196.68828
