Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Track,Year
0 days 01:05:53.302000,VER,1,0 days 00:01:37.880000,2,1,,,0 days 00:00:31.285000,0 days 00:00:42.269000,0 days 00:00:24.326000,0 days 01:04:46.662000,0 days 01:05:28.931000,0 days 01:05:53.257000,,252,276,296,TRUE,SOFT,5,FALSE,Red Bull Racing,0 days 01:04:15.422000,05:15.4,1,2,FALSE,,FALSE,TRUE,Bahrain,2022
0 days 01:29:19.626000,VER,1,0 days 00:01:36.905000,16,2,,,0 days 00:00:30.944000,0 days 00:00:41.970000,0 days 00:00:23.991000,0 days 01:28:13.620000,0 days 01:28:55.590000,0 days 01:29:19.581000,231,260,286,300,TRUE,SOFT,2,TRUE,Red Bull Racing,0 days 01:27:42.721000,28:42.7,1,2,FALSE,,FALSE,TRUE,Bahrain,2022
0 days 01:55:52.870000,VER,1,0 days 00:01:36.527000,32,3,,,0 days 00:00:30.783000,0 days 00:00:41.843000,0 days 00:00:23.901000,0 days 01:54:47.081000,0 days 01:55:28.924000,0 days 01:55:52.825000,234,251,281,294,TRUE,MEDIUM,2,TRUE,Red Bull Racing,0 days 01:54:16.343000,55:16.4,1,4,FALSE,,FALSE,TRUE,Bahrain,2022
0 days 01:57:29.217000,VER,1,0 days 00:01:36.347000,33,3,,,0 days 00:00:30.817000,0 days 00:00:41.723000,0 days 00:00:23.807000,0 days 01:56:23.642000,0 days 01:57:05.365000,0 days 01:57:29.172000,229,263,281,299,TRUE,MEDIUM,3,TRUE,Red Bull Racing,0 days 01:55:52.870000,56:52.9,1,4,FALSE,,FALSE,TRUE,Bahrain,2022
0 days 02:17:15.590000,VER,1,0 days 00:01:35.747000,45,4,,,0 days 00:00:30.587000,0 days 00:00:41.430000,0 days 00:00:23.730000,0 days 02:16:10.385000,0 days 02:16:51.815000,0 days 02:17:15.545000,235,260,281,303,TRUE,SOFT,5,FALSE,Red Bull Racing,0 days 02:15:39.843000,16:39.9,1,2,FALSE,,FALSE,TRUE,Bahrain,2022
0 days 02:30:37.453000,VER,1,0 days 00:01:35.440000,51,4,,,0 days 00:00:30.521000,0 days 00:00:41.270000,0 days 00:00:23.649000,0 days 02:29:32.489000,0 days 02:30:13.759000,0 days 02:30:37.408000,237,264,282,300,TRUE,SOFT,11,FALSE,Red Bull Racing,0 days 02:29:02.013000,30:02.0,1,2,FALSE,,FALSE,TRUE,Bahrain,2022
0 days 01:05:59.625000,GAS,10,0 days 00:01:40.169000,2,1,,,0 days 00:00:32.180000,0 days 00:00:43.326000,0 days 00:00:24.663000,0 days 01:04:51.600000,0 days 01:05:34.926000,0 days 01:05:59.589000,227,242,274,289,TRUE,SOFT,5,FALSE,AlphaTauri,0 days 01:04:19.456000,05:19.5,1,8,FALSE,,FALSE,TRUE,Bahrain,2022
0 days 01:07:39.593000,GAS,10,0 days 00:01:39.968000,3,1,,,0 days 00:00:31.940000,0 days 00:00:43.366000,0 days 00:00:24.662000,0 days 01:06:31.529000,0 days 01:07:14.895000,0 days 01:07:39.557000,226,246,275,292,TRUE,SOFT,6,FALSE,AlphaTauri,0 days 01:05:59.625000,06:59.6,1,8,FALSE,,FALSE,TRUE,Bahrain,2022
0 days 01:29:51.215000,GAS,10,0 days 00:01:38.705000,16,2,,,0 days 00:00:31.029000,0 days 00:00:43.445000,0 days 00:00:24.231000,0 days 01:28:43.503000,0 days 01:29:26.948000,0 days 01:29:51.179000,229,249,274,326,TRUE,MEDIUM,2,TRUE,AlphaTauri,0 days 01:28:12.510000,29:12.5,1,8,FALSE,,FALSE,TRUE,Bahrain,2022
0 days 02:00:03.799000,GAS,10,0 days 00:01:37.324000,34,3,,,0 days 00:00:31.172000,0 days 00:00:42.224000,0 days 00:00:23.928000,0 days 01:58:57.611000,0 days 01:59:39.835000,0 days 02:00:03.763000,231,257,277,295,TRUE,HARD,2,TRUE,AlphaTauri,0 days 01:58:26.475000,59:26.5,1,10,FALSE,,FALSE,TRUE,Bahrain,2022
0 days 01:05:57.271000,PER,11,0 days 00:01:39.092000,2,1,,,0 days 00:00:31.632000,0 days 00:00:42.939000,0 days 00:00:24.521000,0 days 01:04:49.748000,0 days 01:05:32.687000,0 days 01:05:57.208000,,250,278,291,TRUE,SOFT,5,FALSE,Red Bull Racing,0 days 01:04:18.179000,05:18.2,1,6,FALSE,,FALSE,TRUE,Bahrain,2022
0 days 01:09:15.485000,PER,11,0 days 00:01:38.741000,4,1,,,0 days 00:00:31.361000,0 days 00:00:42.855000,0 days 00:00:24.525000,0 days 01:08:08.042000,0 days 01:08:50.897000,0 days 01:09:15.422000,232,253,278,301,TRUE,SOFT,7,FALSE,Red Bull Racing,0 days 01:07:36.744000,08:36.8,1,5,FALSE,,FALSE,TRUE,Bahrain,2022
0 days 01:31:10.323000,PER,11,0 days 00:01:36.634000,17,2,,,0 days 00:00:31.025000,0 days 00:00:41.657000,0 days 00:00:23.952000,0 days 01:30:04.651000,0 days 01:30:46.308000,0 days 01:31:10.260000,233,253,278,294,TRUE,MEDIUM,2,TRUE,Red Bull Racing,0 days 01:29:33.689000,30:33.7,1,4,FALSE,,FALSE,TRUE,Bahrain,2022
