LapTime,Top Speed,Team,Track,Year,Track Length,Track Corners,Mean Speed
0 days 00:01:35.440000,300,Red Bull Racing,Bahrain,2022,5.412,15,204.1408215
0 days 00:01:37.104000,303,RB,Bahrain,2022,5.412,15,200.64261
0 days 00:01:36.733000,293,Alpine,Bahrain,2022,5.412,15,201.4121344
0 days 00:01:34.570000,297,Ferrari,Bahrain,2022,5.412,15,206.018822
0 days 00:01:37.146000,283,Aston Martin,Bahrain,2022,5.412,15,200.5558644
0 days 00:01:36.623000,297,Haas F1 Team,Bahrain,2022,5.412,15,201.6414311
0 days 00:01:37.355000,303,Williams,Bahrain,2022,5.412,15,200.1253146
0 days 00:01:36.599000,300,Kick Sauber,Bahrain,2022,5.412,15,201.6915289
0 days 00:01:36.988000,302,McLaren,Bahrain,2022,5.412,15,200.8825834
0 days 00:01:36.228000,299,Mercedes,Bahrain,2022,5.412,15,202.4691358
0 days 00:01:31.772000,313,Red Bull Racing,Saudi Arabia,2022,6.175,27,242.2307458
0 days 00:01:33.468000,306,RB,Saudi Arabia,2022,6.175,27,237.8354089
0 days 00:01:33.103000,299,Alpine,Saudi Arabia,2022,6.175,27,238.7678163
0 days 00:01:31.634000,317,Ferrari,Saudi Arabia,2022,6.175,27,242.5955431
0 days 00:01:33.651000,303,Aston Martin,Saudi Arabia,2022,6.175,27,237.3706634
0 days 00:01:32.779000,303,Haas F1 Team,Saudi Arabia,2022,6.175,27,239.601634
0 days 00:01:34.368000,330,Williams,Saudi Arabia,2022,6.175,27,235.5671414
0 days 00:01:33.924000,304,Kick Sauber,Saudi Arabia,2022,6.175,27,236.6807206
0 days 00:01:32.753000,316,McLaren,Saudi Arabia,2022,6.175,27,239.6687978
0 days 00:01:32.821000,299,Mercedes,Saudi Arabia,2022,6.175,27,239.4932181
0 days 00:01:21.094000,288,Red Bull Racing,Australia,2022,5.278,16,234.3058673
0 days 00:01:22.731000,282,RB,Australia,2022,5.278,16,229.6696522
0 days 00:01:20.846000,293,Alpine,Australia,2022,5.278,16,235.0246147
0 days 00:01:20.260000,309,Ferrari,Australia,2022,5.278,16,236.7405931
0 days 00:01:23.592000,298,Aston Martin,Australia,2022,5.278,16,227.3040482
0 days 00:01:23.006000,287,Haas F1 Team,Australia,2022,5.278,16,228.9087536
0 days 00:01:22.589000,298,Williams,Australia,2022,5.278,16,230.0645364
0 days 00:01:21.651000,306,Kick Sauber,Australia,2022,5.278,16,232.707499
0 days 00:01:22.248000,274,McLaren,Australia,2022,5.278,16,231.0183834
0 days 00:01:21.495000,280,Mercedes,Australia,2022,5.278,16,233.1529542
0 days 00:01:18.446000,294,Red Bull Racing,Emilia Romagna,2022,4.909,19,225.2810851
0 days 00:01:20.903000,277,McLaren,Emilia Romagna,2022,4.909,19,218.4393657
0 days 00:01:20.962000,276,Mercedes,Emilia Romagna,2022,4.909,19,218.2801808
0 days 00:01:20.758000,281,Kick Sauber,Emilia Romagna,2022,4.909,19,218.8315709
0 days 00:01:18.574000,285,Ferrari,Emilia Romagna,2022,4.909,19,224.9140937
0 days 00:01:20.544000,289,RB,Emilia Romagna,2022,4.909,19,219.4129917
0 days 00:01:21.211000,278,Aston Martin,Emilia Romagna,2022,4.909,19,217.6109148
0 days 00:01:18.999000,278,Haas F1 Team,Emilia Romagna,2022,4.909,19,223.7040975
0 days 00:01:21.338000,296,Williams,Emilia Romagna,2022,4.909,19,217.2711402
0 days 00:01:21.887000,276,Alpine,Emilia Romagna,2022,4.909,19,215.814476
0 days 00:01:31.361000,312,Red Bull Racing,Miami,2022,5.41,18,213.1763006
0 days 00:01:33.035000,322,RB,Miami,2022,5.41,18,209.3405708
0 days 00:01:33.163000,313,Alpine,Miami,2022,5.41,18,209.0529502
0 days 00:01:31.488000,308,Ferrari,Miami,2022,5.41,18,212.8803778
0 days 00:01:33.312000,318,Aston Martin,Miami,2022,5.41,18,208.7191358
0 days 00:01:32.528000,313,Haas F1 Team,Miami,2022,5.41,18,210.4876362
