X,Y,Number,Letter,Angle,Distance
42.40593929993702,8329.202564224179,1,,-246.61531114606282,710.617854090195
820.7816212551479,7879.043840540197,2,,-101.17746928558444,810.1057641561069
1912.969997301606,8065.44216673751,3,,-261.39456176357044,919.675665331109
7487.745292571566,6790.71071569364,4,,-349.5990658655476,1498.1727664196678
5820.228442599813,4860.740936217904,5,,-211.50159707799352,1766.1515777233733
5180.404120509692,4214.598861214608,6,,-76.37444237537011,1832.2326581252244
4276.202937249183,4156.240630824386,7,,-258.95337199513926,1965.7085128056565
2490.099010685538,2458.6003965290042,8,,-114.65430945303928,2210.050900947368
2711.1552878922835,5950.242339493996,9,,-344.90795562972295,2572.8829304684195
2100.132715648695,6613.999850943207,10,,-270.0220000651102,2663.189985160832
2120.9852205176358,-663.9950720811103,11,,-100.99967138579512,3450.1521918042044
4981.251161545602,1603.7476220625608,12,,-272.81282353019,3849.391053366119
6665.934072283377,449.2756371061455,13,,-358.727848261899,4059.1061107171618
-145.4124578081196,-3472.8085483980503,14,,-110.52153187970453,4868.649368897963
-552.8126057447134,-2803.66625094119,15,,-169.0619991685993,4951.681791589614
